power_demand_MWh,is_weekend,hour_sin,hour_cos,resident_pop,working_pop,visitor_pop,total_visitors,renewable_energy_mwh,TA_mean,HM_mean,HM_max,tropical_night,CDD,power_1h,power_24h,power_48h,power_168h
611.129,1,-0.5000000000000004,0.8660254037844384,142639.0,7073.0,76062.0,31599.0,0.31,21.450000000000003,96.5,100.0,0,0.0,641.417,608.432,619.707,622.387
588.338,1,-0.25881904510252157,0.9659258262890681,142639.0,7073.0,76062.0,31599.0,0.78,21.45,96.5,100.0,0,0.0,611.129,590.521,597.517,594.222
545.332,0,0.0,1.0,213819.0,28544.0,87654.0,30118.0,1.33,21.425,96.5,100.0,0,0.0,588.338,548.716,553.199,546.645
515.368,0,0.25881904510252074,0.9659258262890683,213819.0,28544.0,87654.0,30118.0,2.34,21.0,97.0,100.0,0,0.0,545.332,517.438,520.403,513.702
495.486,0,0.49999999999999994,0.8660254037844387,213819.0,28544.0,87654.0,30118.0,2.13,20.925,97.75,100.0,0,0.0,515.368,495.815,499.434,493.97
483.923,0,0.7071067811865475,0.7071067811865476,213819.0,28544.0,87654.0,30118.0,2.32,21.0,98.25,100.0,0,0.0,495.486,483.764,486.777,482.88
479.244,0,0.8660254037844386,0.5000000000000001,213819.0,28544.0,87654.0,30118.0,4.32,21.375,98.25,100.0,0,0.0,483.923,479.69,485.109,479.191
490.221,0,0.9659258262890683,0.25881904510252074,213819.0,28544.0,87654.0,30118.0,1.3900000000000001,21.6,98.25,100.0,0,0.0,479.244,483.361,490.552,485.779
528.29,0,1.0,6.123233995736766e-17,213819.0,28544.0,87654.0,30118.0,4.89,21.575,98.25,100.0,0,0.0,490.221,498.296,511.379,516.532
572.434,0,0.9659258262890683,-0.25881904510252063,213819.0,28544.0,87654.0,30118.0,27.36,21.875,98.5,100.0,0,0.0,528.29,513.216,538.35,569.181
633.349,0,0.8660254037844387,-0.4999999999999998,213819.0,28544.0,87654.0,30118.0,27.42,22.375,98.0,100.0,0,0.0,572.434,539.226,569.876,632.975
678.065,0,0.7071067811865476,-0.7071067811865475,213819.0,28544.0,87654.0,30118.0,47.32,22.525,97.0,100.0,0,0.0,633.349,553.902,591.869,672.276
702.672,0,0.49999999999999994,-0.8660254037844387,213819.0,28544.0,87654.0,30118.0,44.510000000000005,22.975,97.25,100.0,0,0.0,678.065,571.966,619.003,690.814
700.007,0,0.258819045102521,-0.9659258262890682,213819.0,28544.0,87654.0,30118.0,54.74,22.8,96.75,100.0,0,0.0,702.672,587.895,629.072,699.078
699.847,0,1.2246467991473532e-16,-1.0,213819.0,28544.0,87654.0,30118.0,71.17,23.0,96.5,100.0,0,0.0,700.007,605.144,622.265,707.618
705.419,0,-0.2588190451025208,-0.9659258262890683,213819.0,28544.0,87654.0,30118.0,55.66,22.8,96.5,100.0,0,0.0,699.847,591.756,616.892,725.554
705.784,0,-0.4999999999999997,-0.8660254037844388,213819.0,28544.0,87654.0,30118.0,53.72,23.025,95.5,100.0,0,0.0,705.419,605.888,622.209,728.214
711.669,0,-0.7071067811865471,-0.7071067811865479,213819.0,28544.0,87654.0,30118.0,29.34,23.325,94.25,100.0,0,0.0,705.784,602.565,623.745,717.542
705.463,0,-0.8660254037844384,-0.5000000000000004,213819.0,28544.0,87654.0,30118.0,49.36,23.275,94.75,100.0,0,0.0,711.669,614.682,623.664,717.964
700.16,0,-0.9659258262890683,-0.25881904510252063,213819.0,28544.0,87654.0,30118.0,59.97,23.425,94.75,100.0,0,0.0,705.463,631.327,636.12,725.099
694.013,0,-1.0,-1.8369701987210297e-16,213819.0,28544.0,87654.0,30118.0,35.93,23.175,95.75,100.0,0,0.0,700.16,641.564,643.21,725.224
708.5,0,-0.9659258262890684,0.2588190451025203,213819.0,28544.0,87654.0,30118.0,18.189999999999998,22.925,96.5,100.0,0,0.0,694.013,656.16,653.539,727.02
706.086,0,-0.8660254037844386,0.5000000000000001,213819.0,28544.0,87654.0,30118.0,3.9699999999999998,22.7,97.75,100.0,0,0.0,708.5,662.232,655.013,717.602
678.226,0,-0.7071067811865477,0.7071067811865474,213819.0,28544.0,87654.0,30118.0,1.58,22.5,98.0,100.0,0,0.0,706.086,641.417,635.792,681.058
